w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.064,987.427914077,788.680613391,564.020306636,1276.10253838,811.520587017
1.066,986.850037441,788.154466082,563.548203354,1275.41862319,811.056995261
1.068,986.272455351,787.628721954,563.076477591,1274.7350209,810.593656633
1.07,985.695167807,787.103381006,562.605129347,1274.0517315,810.130571135
1.072,985.118174811,786.57844324,562.134158623,1273.36875498,809.667738766
1.074,984.54147636,786.053908654,561.663565418,1272.68609136,809.205159525
1.076,983.965072456,785.52977725,561.193349732,1272.00374063,808.742833413
1.078,983.388963098,785.006049026,560.723511565,1271.32170279,808.28076043
1.08,982.813148287,784.482723983,560.254050918,1270.63997785,807.818940576
1.082,982.237628023,783.959802121,559.78496779,1269.95856579,807.357373851
1.084,981.662402305,783.43728344,559.316262181,1269.27746663,806.896060254
1.086,981.087471133,782.91516794,558.847934092,1268.59668035,806.434999787
1.088,980.512834508,782.39345562,558.379983522,1267.91620697,805.974192448
1.09,979.938492429,781.872146482,557.912410471,1267.23604648,805.513638238
1.092,979.364444897,781.351240524,557.445214939,1266.55619888,805.053337157
1.094,978.790691911,780.830737748,556.978396927,1265.87666417,804.593289204
1.096,978.217233472,780.310638152,556.511956434,1265.19744235,804.133494381
1.098,977.644069579,779.790941737,556.045893461,1264.51853342,803.673952686
1.1,977.071200232,779.271648503,555.580208006,1263.83993738,803.21466412
1.102,976.498625432,778.752758449,555.114900071,1263.16165424,802.755628683
1.104,975.926345179,778.234271577,554.649969655,1262.48368398,802.296846375
1.106,975.354359472,777.716187885,554.185416759,1261.80602662,801.838317196
1.108,974.782668312,777.198507375,553.721241382,1261.12868215,801.380041145
1.11,974.211271698,776.681230045,553.257443524,1260.45165057,800.922018223
1.112,973.64016963,776.164355896,552.794023185,1259.77493188,800.46424843
1.114,973.069362109,775.647884928,552.330980366,1259.09852608,800.006731766
1.116,972.498849134,775.131817141,551.868315066,1258.42243317,799.549468231
1.118,971.928630706,774.616152535,551.406027285,1257.74665315,799.092457825
1.12,971.358706824,774.100891109,550.944117023,1257.07118603,798.635700547
1.122,970.789077489,773.586032865,550.482584281,1256.39603179,798.179196399
1.124,970.219742701,773.071577801,550.021429058,1255.72119045,797.722945379
1.126,969.650702458,772.557525918,549.560651355,1255.046662,797.266947488
1.128,969.081956763,772.043877217,549.100251171,1254.37244644,796.811202726
1.13,968.513505613,771.530631696,548.640228505,1253.69854377,796.355711092
1.132,967.94534901,771.017789355,548.18058336,1253.02495399,795.900472588
1.134,967.377486954,770.505350196,547.721315733,1252.3516771,795.445487212
1.136,966.809919444,769.993314218,547.262425626,1251.67871311,794.990754965
1.138,966.242646481,769.48168142,546.803913038,1251.006062,794.536275847
1.14,965.675668064,768.970451804,546.34577797,1250.33372379,794.082049858
1.142,965.108984193,768.459625368,545.88802042,1249.66169846,793.628076997
1.144,964.542594869,767.949202113,545.430640391,1248.98998603,793.174357266
1.146,963.976500092,767.439182039,544.97363788,1248.31858649,792.720890663
1.148,963.410699861,766.929565146,544.517012888,1247.64749984,792.267677189
1.15,962.845194176,766.420351433,544.060765416,1246.97672608,791.814716844
1.152,962.279983038,765.911540902,543.604895463,1246.30626521,791.362009628
1.154,961.715066446,765.403133551,543.14940303,1245.63611724,790.90955554
1.156,961.150444401,764.895129382,542.694288116,1244.96628215,790.457354582
1.158,960.586116903,764.387528393,542.239550721,1244.29675996,790.005406752
1.16,960.02208395,763.880330585,541.785190845,1243.62755066,789.553712051
1.162,959.458345545,763.373535958,541.331208489,1242.95865424,789.102270479
1.164,958.894901685,762.867144512,540.877603652,1242.29007072,788.651082036
1.166,958.331752372,762.361156247,540.424376334,1241.62180009,788.200146722
1.168,957.768897606,761.855571162,539.971526535,1240.95384235,787.749464536
1.17,957.206337386,761.350389259,539.519054256,1240.28619751,787.299035479
1.172,956.644071713,760.845610536,539.066959496,1239.61886555,786.848859551
1.174,956.082100586,760.341234994,538.615242256,1238.95184649,786.398936752
1.176,955.520424005,759.837262633,538.163902534,1238.28514031,785.949267082
1.178,954.959041971,759.333693453,537.712940332,1237.61874703,785.49985054
1.18,954.397954484,758.830527454,537.262355649,1236.95266664,785.050687128
1.182,953.837161543,758.327764636,536.812148486,1236.28689914,784.601776844
1.184,953.276663148,757.825404998,536.362318842,1235.62144453,784.153119689
1.186,952.7164593,757.323448542,535.912866717,1234.95630281,783.704715663
1.188,952.156549999,756.821895266,535.463792111,1234.29147398,783.256564766
1.19,951.596935244,756.320745171,535.015095025,1233.62695804,782.808666997
1.192,951.037615035,755.819998258,534.566775458,1232.962755,782.361022358
1.194,950.478589373,755.319654524,534.11883341,1232.29886484,781.913630847
1.196,949.919858257,754.819713972,533.671268882,1231.63528758,781.466492465
1.198,949.361421688,754.320176601,533.224081873,1230.97202321,781.019607212
1.2,948.803279665,753.821042411,532.777272383,1230.30907173,780.572975088
1.202,948.245432188,753.322311401,532.330840412,1229.64643314,780.126596092
1.204,947.687879259,752.823983572,531.884785961,1228.98410744,779.680470226
1.206,947.130620875,752.326058925,531.439109029,1228.32209463,779.234597488
1.208,946.573657038,751.828537458,530.993809616,1227.66039471,778.788977879
1.21,946.016987748,751.331419172,530.548887723,1226.99900769,778.343611399
1.212,945.460613004,750.834704066,530.104343349,1226.33793356,777.898498047
1.214,944.904532806,750.338392142,529.660176494,1225.67717231,777.453637825
1.216,944.348747155,749.842483399,529.216387158,1225.01672396,777.009030731
1.218,943.793256051,749.346977836,528.772975342,1224.3565885,776.564676767
1.22,943.238059493,748.851875454,528.329941045,1223.69676593,776.120575931
1.222,942.683157481,748.357176254,527.887284268,1223.03725625,775.676728223
1.224,942.128550016,747.862880234,527.445005009,1222.37805946,775.233133645
1.226,941.574237097,747.368987395,527.00310327,1221.71917557,774.789792196
1.228,941.020218725,746.875497736,526.56157905,1221.06060456,774.346703875
1.23,940.466494899,746.382411259,526.12043235,1220.40234645,773.903868683
1.232,939.91306562,745.889727963,525.679663169,1219.74440122,773.46128662
1.234,939.359930887,745.397447847,525.239271507,1219.08676889,773.018957686
1.236,938.807090701,744.905570912,524.799257364,1218.42944945,772.576881881
1.238,938.254545061,744.414097159,524.359620741,1217.7724429,772.135059204
1.24,937.702293968,743.923026586,523.920361637,1217.11574924,771.693489657
1.242,937.150337421,743.432359194,523.481480052,1216.45936848,771.252173238
1.244,936.598675421,742.942094982,523.042975986,1215.8033006,770.811109948
1.246,936.047307967,742.452233952,522.60484944,1215.14754561,770.370299787
1.248,935.496235059,741.962776103,522.167100413,1214.49210352,769.929742754
1.25,934.945456698,741.473721434,521.729728906,1213.83697432,769.489438851
1.252,934.394972884,740.985069946,521.292734917,1213.18215801,769.049388076
1.254,933.844783616,740.49682164,520.856118448,1212.52765458,768.60959043
1.256,933.294888894,740.008976514,520.419879499,1211.87346405,768.170045913
1.258,932.745288719,739.521534569,519.984018068,1211.21958642,767.730754525
1.26,932.19598309,739.034495804,519.548534157,1210.56602167,767.291716266
1.262,931.646972008,738.547860221,519.113427765,1209.91276981,766.852931135
1.264,931.098255472,738.061627819,518.678698893,1209.25983085,766.414399134
1.266,930.549833483,737.575798597,518.244347539,1208.60720477,765.976120261
